"filename", "language", "JSON", "HTML", "JSON with Comments", "TypeScript", "Markdown", "vue", "JavaScript", "Properties", "XML", "Batch", "CSS", "Java", "comment", "blank", "total"
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\services\translationService.ts", "TypeScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 58, 28, 206
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\store\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\store\modules\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\store\modules\messages.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\store\modules\orders.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\store\modules\products.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\stores\authStore.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 34, 23, 178
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\stores\productStore.ts", "TypeScript", 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 35, 22, 405
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\utils\helpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\AdminDashboardView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\AuthView.vue", "vue", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 32, 227
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\ConsumerDashboardView.vue", "vue", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 6, 32, 211
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\FarmerDashboardView.vue", "vue", 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 6, 41, 269
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0, 4, 56, 417
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\ProductDetailView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\views\ProductsView.vue", "vue", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 6, 42, 284
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\tsconfig.app.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\vite.config.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 3945, 13, 11, 711, 66, 5795, 0, 4, 91, 108, 90, 9, 261, 1031, 12135
